checked_at,run_date,model,metric,valid_time,legacy_value,openmeteo_value,diff,flag
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-12 06:00:00,18.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-12 12:00:00,17.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-12 18:00:00,18.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-13 00:00:00,17.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-13 06:00:00,15.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-13 12:00:00,15.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-13 18:00:00,16.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-14 00:00:00,15.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-14 06:00:00,14.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-14 12:00:00,13.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-14 18:00:00,15.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-15 00:00:00,15.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-15 06:00:00,15.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-15 12:00:00,13.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-15 18:00:00,15.7,,,False
